id,name,file,source_url,width,height
38219,Champú pH neutro - 5000 ml,38219.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_con_ph_neutro.jpg?v=1770728076,2048,2048
38239,Champú Fresa – 5000 ml,38239.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-fresa-5000ml.jpg?v=1728305102,2048,2048
38249,Champú huevo - 5000 ml,38249.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_de_huevo.jpg?v=1768374783,2048,2048
38259,Champú clorofila - 5000 ml,38259.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-clorofila-5000ml.webp?v=1728305087,2048,2048
38269,Champú incoloro - 5000 ml,38269.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champuincolorogarrafa.webp?v=1760094003,2048,2048
38279,Champú almendras - 5000 ml,38279.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu_almendras.jpg?v=1771846021,1920,1920
38289,Champú manzana - 5000 ml,38289.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-manzana-5000ml.jpg?v=1728305073,800,800
38314,Acondicionador capilar efecto seda - 12x15 ml,38314.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/acondicionador-efecto-seda.jpg?v=1728305070,800,800
38318,Bálsamo Acondicionador Capilar Revitalizante con Keratina Natural - 1000 ml,38318.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/balsamo-acondicionador-keratina-vegetal-valquer-1000ml.webp?v=1783682552,2048,2048
38319,Bálsamo Acondicionador Capilar Revitalizante con Keratina Natural - 5000 ml,38319.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/balsamo_acondicionador_keratina_vegetal.jpg?v=1771845849,1920,1920
38412,Oxidante en crema 10 vol (3%) - Formato pequeño - 75 ml,38412.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-crema-10-vol-3-75ml-valquer.jpg?v=1786524548,2048,2048
38417,Agua Oxigenada 10 vol (3 %) – Oxidante Capilar Profesional - 500ml,38417.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/agua-oxigenada-10-vol.jpg?v=1764148078,800,800
38418,Agua Oxigenada 10 vol (3 %) – Oxidante Capilar Profesional - 1000ml,38418.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-en-crema-10-vol-3-valquer-1000ml.webp?v=1783683336,2048,2048
38422,Agua Oxigenada 20 vol (6 %) - Formato Pequeño 75 ml,38422.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-crema-20-vol-6-75ml-valquer.jpg?v=1786524113,2048,2048
38427,Agua Oxigenada 20 vol (6 %) – Oxidante Capilar Profesional - 500 ml,38427.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante_en_crema.webp?v=1765356515,2048,2048
38428,Agua Oxigenada 20 vol (6 %) – Oxidante Capilar Profesional - 1000 ml,38428.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/Agua_oxigenada_20_vol.png?v=1765356354,2048,2048
38432,Agua Oxigenada 30 vol (9%) - Formato pequeño - 75 ml,38432.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-crema-30-vol-9-75ml-valquer.jpg?v=1786524143,2048,2048
38437,Agua Oxigenada 30 vol (9 %) – Oxidante Capilar Profesional - 500 ml,38437.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/agua_oxigenada_de_30.webp?v=1765353529,2048,2048
38438,Agua Oxigenada 30 vol (9 %) – Oxidante Capilar Profesional - 1000 ml,38438.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante_en_crema_30_vol.png?v=1765353375,2048,2048
38442,Oxidante en Crema 40 vol (12 %) – Profesional 75 ml,38442.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-crema-40-vol-12-75ml-valquer.jpg?v=1786524320,2048,2048
38447,Agua Oxigenada 40 vol (12 %) – Oxidante Capilar Profesional - 500 ml,38447.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/agua-oxigenada-40-volumenes-500.webp?v=1747812807,2048,2048
38448,Agua Oxigenada 40 vol (12 %) – Oxidante Capilar Profesional - 1000 ml,38448.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/oxidante-en-crema-40-vol-12-valquer-1000ml.webp?v=1783683376,2048,2048
38457,Decoblue Polvos decolorantes - 500 g,38457.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/polvos_decolorantes.jpg?v=1771844254,1920,1920
60555,"Champú de Placenta Vegetal. Combate: caída, caspa, grasa - 500 ml",60555.webp,https://cdn.shopify.com/s/files/1/0592/7957/3162/files/champu-placenta-vegetal-valquer-500ml.webp?v=1783682795,2048,2048
